iter	MultiClass
0	2.172523369
1	2.148951932
2	2.128849518
3	2.105222844
4	2.08505916
5	2.058740132
6	2.038556392
7	2.020953337
8	1.998960323
9	1.974213442
10	1.951877701
11	1.927663235
12	1.909295971
13	1.89105328
14	1.870839152
15	1.852931101
16	1.830068798
17	1.811859046
18	1.795710921
19	1.773399496
20	1.745268934
21	1.728708963
22	1.710495048
23	1.690008944
24	1.670233041
25	1.649962396
26	1.634561084
27	1.611711835
28	1.593148755
29	1.575501241
30	1.558346259
31	1.535195549
32	1.517563158
33	1.501711683
34	1.481974865
35	1.467022561
36	1.452459501
37	1.438069796
38	1.420617505
39	1.406382569
40	1.391468951
41	1.375815694
42	1.361205364
43	1.347987971
44	1.332799644
45	1.318312406
46	1.304092073
47	1.290375269
48	1.277696972
49	1.263856867
50	1.250616961
51	1.239927313
52	1.227935073
53	1.21613075
54	1.2009835
55	1.192043771
56	1.178774055
57	1.164558685
58	1.151994759
59	1.141567975
60	1.12969272
61	1.119959772
62	1.108135379
63	1.097502443
64	1.086071192
65	1.07664873
66	1.062211471
67	1.050406587
68	1.040169365
69	1.02723281
70	1.016911711
71	1.004875384
72	0.9944573201
73	0.9842242877
74	0.9725148652
75	0.9641227184
76	0.9528064974
77	0.9441544759
78	0.9326217905
79	0.9234123368
80	0.9146598571
81	0.9047325793
82	0.8946146151
83	0.8846404089
84	0.87599866
85	0.8657764398
86	0.8564693469
87	0.8486595995
88	0.8401588749
89	0.8306502439
90	0.8217378184
91	0.8126485173
92	0.8042435303
93	0.7943514557
94	0.785896606
95	0.7782235248
96	0.7698003668
97	0.7614615559
98	0.7496420353
99	0.7428492509
100	0.7352191762
101	0.7270953645
102	0.7185899226
103	0.7112330253
104	0.7022906226
105	0.6962965605
106	0.6883182864
107	0.6805641852
108	0.6723033136
109	0.6662276335
110	0.6605784527
111	0.6545052287
112	0.6457195162
113	0.6399809294
114	0.6331428749
115	0.6267966073
116	0.6216380218
117	0.6152708127
118	0.6116644744
119	0.604471426
120	0.5987756701
121	0.5920550982
122	0.5860462667
123	0.5802323176
124	0.5749587937
125	0.5683703285
126	0.5636825832
127	0.5592965287
128	0.5534393629
129	0.5479247475
130	0.5419867353
131	0.5362638499
132	0.5300811396
133	0.5246586523
134	0.5206059857
135	0.5156944498
136	0.5105429102
137	0.506386191
138	0.5015273616
139	0.4960628033
140	0.4916958898
141	0.4877254201
142	0.4836781652
143	0.4789559077
144	0.47432336
145	0.4701802916
146	0.4654965161
147	0.460573046
148	0.455983793
149	0.4511111132
150	0.4467534674
151	0.4434628195
152	0.4398070637
153	0.4365021409
154	0.4343942586
155	0.4304301435
156	0.4268226556
157	0.4242075712
158	0.4209949686
159	0.4175039343
160	0.4140971926
161	0.4105559713
162	0.4075499443
163	0.4044234767
164	0.4011010484
165	0.3979525958
166	0.3949670443
167	0.3916495938
168	0.3887090777
169	0.3852031147
170	0.3823573256
171	0.3792214872
172	0.3763347393
173	0.3741439453
174	0.3713236549
175	0.3681132614
176	0.3653366836
177	0.3617705655
178	0.3589899193
179	0.3562571269
180	0.354224046
181	0.3515623953
182	0.3490098184
183	0.3468804166
184	0.3453312452
185	0.3428283575
186	0.3404244834
187	0.3382155197
188	0.3355701714
189	0.332441892
190	0.3298796498
191	0.3271874453
192	0.3245646464
193	0.3221782594
194	0.3197384715
195	0.3175851967
196	0.3153512496
197	0.3131209207
198	0.3107771818
199	0.3079253531
200	0.3058010292
201	0.3033580015
202	0.3016039228
203	0.2991654196
204	0.2975677988
205	0.2954038616
206	0.2934309487
207	0.2918063118
208	0.2898410227
209	0.2874769239
210	0.2858152885
211	0.2841516646
212	0.2820930452
213	0.2803867939
214	0.2781280371
215	0.276869592
216	0.2746795558
217	0.2730915488
218	0.2714018209
219	0.2694552141
220	0.2682058456
221	0.2666941498
