iter	Passed	Remaining
0	3	3728
1	7	3821
2	9	3116
3	14	3547
4	18	3595
5	22	3650
6	24	3465
7	29	3605
8	33	3652
9	36	3630
10	40	3673
11	45	3729
12	48	3719
13	52	3697
14	57	3746
15	61	3769
16	65	3780
17	69	3768
18	73	3782
19	77	3814
20	82	3840
21	87	3878
22	92	3944
23	96	3932
24	100	3920
25	104	3912
26	108	3913
27	112	3895
28	115	3879
29	119	3874
30	124	3888
31	128	3891
32	132	3878
33	136	3868
34	140	3874
35	145	3885
36	148	3877
37	153	3874
38	156	3867
39	161	3879
40	166	3882
41	170	3881
42	174	3887
43	178	3885
44	183	3896
45	188	3900
46	193	3914
47	197	3918
48	202	3930
49	208	3955
50	213	3963
51	217	3969
52	223	3988
53	227	3984
54	232	3994
55	237	3995
56	241	3989
57	245	3980
58	248	3971
59	252	3961
60	256	3943
61	257	3892
62	260	3881
63	264	3867
64	267	3854
65	271	3839
66	274	3824
67	278	3812
68	281	3801
69	285	3791
70	288	3779
71	292	3767
72	295	3755
73	299	3745
74	302	3734
75	306	3722
76	309	3713
77	313	3702
78	316	3692
79	320	3682
80	323	3671
81	327	3662
82	330	3653
83	334	3643
84	337	3632
85	340	3622
86	344	3612
87	347	3605
88	351	3596
89	354	3586
90	358	3577
91	361	3568
92	364	3559
93	368	3551
94	372	3544
95	375	3536
96	379	3531
97	383	3525
98	386	3520
99	390	3515
100	396	3532
101	415	3662
102	436	3801
103	441	3803
104	448	3821
105	454	3835
106	459	3836
107	464	3839
108	469	3840
109	474	3839
110	479	3840
111	484	3838
112	488	3836
113	493	3835
114	498	3835
115	503	3836
116	507	3832
117	513	3837
118	518	3836
119	522	3832
120	527	3830
121	531	3825
122	535	3819
123	539	3813
124	543	3805
125	548	3802
126	552	3794
127	556	3792
128	561	3789
129	565	3787
130	570	3786
131	576	3790
132	582	3798
133	587	3794
134	592	3796
135	597	3793
136	601	3788
137	605	3782
138	609	3777
139	614	3772
140	618	3765
141	621	3757
142	625	3748
143	629	3739
144	632	3729
145	635	3719
146	639	3709
147	642	3700
148	646	3691
149	649	3682
150	653	3672
151	657	3665
152	660	3657
153	664	3647
154	667	3638
155	670	3629
156	674	3622
157	678	3614
158	681	3604
159	684	3595
160	688	3587
161	692	3580
162	695	3572
163	698	3563
164	702	3554
165	705	3545
166	709	3537
167	712	3529
168	716	3520
169	719	3513
170	723	3506
171	726	3498
172	730	3490
173	733	3481
174	736	3473
175	740	3466
176	743	3457
177	746	3449
178	751	3444
179	754	3439
180	758	3431
181	762	3425
182	766	3420
183	770	3415
184	773	3409
185	777	3401
186	780	3395
187	784	3389
188	787	3377
189	790	3371
190	794	3365
191	798	3361
192	802	3356
193	807	3355
194	812	3353
195	817	3351
196	822	3351
197	827	3349
198	831	3346
199	836	3344
200	840	3342
201	845	3339
202	849	3336
203	854	3333
204	859	3333
205	865	3335
206	871	3337
207	875	3335
208	880	3332
209	885	3330
210	889	3326
211	893	3321
212	897	3316
213	901	3312
214	905	3307
215	909	3301
216	913	3295
217	916	3288
218	920	3281
219	923	3275
220	927	3268
221	930	3261
222	934	3254
223	937	3247
224	940	3240
225	944	3234
226	948	3228
227	951	3221
228	954	3214
229	958	3208
230	962	3202
231	965	3196
232	969	3190
233	972	3185
234	976	3178
235	979	3172
236	983	3165
237	986	3158
238	989	3152
239	993	3146
240	996	3139
241	1000	3132
242	1003	3125
243	1006	3119
244	1010	3112
245	1013	3105
246	1016	3099
247	1020	3093
248	1023	3086
249	1026	3080
250	1030	3074
251	1033	3067
252	1037	3061
253	1040	3056
254	1043	3049
255	1047	3044
256	1051	3039
257	1055	3034
258	1058	3029
259	1062	3024
260	1066	3019
261	1070	3015
262	1074	3012
263	1079	3008
264	1083	3004
265	1087	3000
266	1091	2996
267	1095	2992
268	1099	2988
269	1103	2983
270	1107	2978
271	1110	2972
272	1114	2968
273	1118	2963
274	1122	2959
275	1126	2955
276	1131	2952
277	1135	2950
278	1140	2947
279	1144	2943
280	1149	2940
281	1153	2938
282	1158	2934
283	1162	2931
284	1167	2929
285	1171	2925
286	1175	2920
287	1179	2916
288	1183	2912
289	1187	2907
290	1190	2901
291	1194	2896
292	1197	2890
293	1201	2885
294	1204	2879
295	1208	2873
296	1211	2867
297	1215	2862
298	1218	2856
299	1221	2851
300	1225	2845
301	1228	2839
302	1232	2834
303	1235	2829
304	1239	2824
305	1243	2819
306	1246	2814
307	1250	2809
308	1253	2803
309	1257	2798
310	1260	2793
311	1264	2789
312	1268	2784
313	1272	2779
314	1275	2774
315	1279	2769
316	1282	2763
317	1286	2758
318	1289	2753
319	1293	2747
320	1296	2742
321	1300	2737
322	1303	2731
323	1307	2726
324	1310	2722
325	1314	2717
326	1317	2712
327	1321	2707
328	1324	2701
329	1328	2698
330	1332	2693
331	1336	2688
332	1339	2683
333	1343	2678
334	1346	2673
335	1350	2668
336	1354	2664
337	1357	2659
338	1361	2653
339	1364	2648
340	1368	2643
341	1371	2638
342	1374	2633
343	1378	2628
344	1381	2623
345	1385	2618
346	1388	2613
347	1392	2608
348	1395	2603
349	1398	2598
350	1402	2593
351	1406	2589
352	1409	2584
353	1413	2579
354	1416	2574
355	1420	2569
356	1424	2565
357	1427	2560
358	1431	2555
359	1434	2550
360	1438	2545
361	1441	2541
362	1445	2536
363	1449	2531
364	1452	2526
365	1455	2521
366	1459	2516
367	1462	2511
368	1466	2506
369	1469	2501
370	1472	2497
371	1476	2492
372	1479	2487
373	1483	2482
374	1486	2477
375	1490	2472
376	1493	2467
377	1496	2462
378	1499	2457
379	1503	2452
380	1506	2447
381	1509	2442
382	1513	2437
383	1516	2433
384	1520	2428
385	1524	2424
386	1527	2419
387	1530	2414
388	1534	2410
389	1538	2406
390	1541	2401
391	1545	2397
392	1549	2393
393	1553	2389
394	1556	2384
395	1560	2379
396	1563	2374
397	1567	2370
398	1570	2365
399	1573	2360
400	1577	2355
401	1580	2350
402	1583	2346
403	1587	2341
404	1590	2336
405	1593	2331
406	1597	2327
407	1600	2322
408	1603	2317
409	1607	2312
